surface_id,current_identifier,path,class,runtime_coupling,audience,sensitivity,authority,proposed_destination,treatment,prerequisite_decision,verification,rollback,external_use_status
SURF-020,analyst.rizrazak.com,scripts/maintenance/inject-analytics.py,source,analytics maintenance script,ops/analytics,medium,current main,Yan News analytics labels,rename-after-gate,analytics/domain gate,dry-run diff on fixtures,restore script,no
SURF-021,Deploy to GitHub Pages,.github/workflows/deploy.yml,source,production Pages deploy,ops/deploy,high,current main,retain workflow until release gate,retain-lineage,release gate,GitHub Actions dry build,restore current workflow,no
SURF-022,Deploy Collaborative CMS Worker,.github/workflows/deploy-worker.yml,source,production Worker deploy,ops/deploy/auth,critical,current main,retain workflow until Worker gate,retain-lineage,Worker release gate,wrangler dry-run and auth smoke,restore current workflow,no
SURF-023,Oracle Data Refresh,.github/workflows/oracle-data-refresh.yml,source,scheduled data commit,ops/data,medium,current main,retain until data gate,retain-lineage,data refresh gate,dry-run and diff scope check,restore workflow,no
SURF-024,yan-news-503217,docs/translation-protocol.md,source,Cloud Translation project lineage,ops/translation,restricted,current main,retain as translation infrastructure,retain-lineage,translation infra review,translation preflight without key disclosure,restore doc,no
SURF-025,warenyan,docs/translation-protocol.md,historical,retired translation project,internal/ops,medium,current main,archive as outage lineage,archive,none,doc review,retain historical note,no
SURF-026,The Analyst,docs/handoff/homepage/analyst-homepage-handoff/HANDOFF.md,historical,homepage design lineage,internal/design,low,current main,Yan News design lineage,retain-lineage,design lineage gate,review register crosslink,retain file,no
SURF-027,Magazine v7,docs/handoff/homepage/analyst-homepage-handoff/mockups/magazine-v7-full.html,historical,homepage mockup lineage,internal/design,low,current main,Yan News visual reference,retain-lineage,design lineage gate,visual review,retain file,no
SURF-028,The Analyst,docs/architecture.md,historical,stale March architecture map,internal/architecture,high,current main,archive as stale lineage,archive,none,stale banner verified,retain file,no
SURF-029,Analyst auth rollout,docs/analyst-auth-rollout-runbook.md,source,auth/deploy runbook,ops/auth,critical,current main,retain Analyst runtime contract,retain-lineage,central-auth gate,auth smoke checklist,retain file,no
SURF-030,Analyst Auth Deploy Hardening Packet,docs/handoff/auth/analyst-auth-deploy-hardening-packet-2026-06-27.md,source,auth/deploy hardening,ops/auth,critical,current main,retain as active constraint,retain-lineage,central-auth gate,auth hardening review,retain file,no
SURF-031,The Analyst business model,docs/handoff/business/analyst-financial-business-plan-v1-2026-06-19.md,source,planning/economics,internal/business,medium,current main,Yan News business lineage,retain-lineage,business model refresh gate,finance review with updated brand assumption,retain file,no
SURF-032,Yan News working name / future capability,/Users/rizrazak/Code/yan/synthesis/investor-pitch-v2/02-planning/ai-agency-addendum-scope-register.csv,historical,central pitch addendum,internal/cross-DGTL,medium,Yan read-only context,Yan News accepted name with unresolved migration,retain-lineage,founder name lock already confirmed,read-only citation,retain source,no
SURF-033,golab task 019e3d6c-5c56-7c80-b793-9f4615ecebab,cross-task correction,historical,shared policy evidence only,internal/cross-DGTL,medium,Priya control-plane addendum,not a Yan News authority,exclude,none,founder correction recorded,none,no
SURF-034,2dee preview registers,/Users/rizrazak/.codex/worktrees/2dee/the-analyst/docs/handoff/previews/,historical,stale preview evidence,internal/design,medium,2dee archive,Yan News UI lineage register,retain-lineage,2dee disposition approval,hash/path inventory before extraction,do not mutate 2dee,no
SURF-035,2dee public shell files,/Users/rizrazak/.codex/worktrees/2dee/the-analyst/public/_shared/analyst-site-shell.*,historical,stale shell implementation,internal/design/code,high,2dee archive,reimplemented Yan News shell,reimplement,current-main target file gate,visual QA in clean branch,do not mutate 2dee,no
SURF-036,2dee deleted Header/Footer,/Users/rizrazak/.codex/worktrees/2dee/the-analyst/src/components/,historical,stale component deletion,internal/code,high,2dee archive,no direct action,exclude,current-main architecture review,component diff review,do not mutate 2dee,no
